기록자 정보,,,,,,,,지하철 현황,,탑승자 정보,,,,,,,,,
날짜,기록 시간,기록자,호선,탑승역,하차역,지나온 역 수,시간,붐빔 정도,노약자석 빈자리 여부,성별,비어있었던 역 수,연령대,뱃지 여부,임산부 여부,무거운 짐 여부,행동,기타 특이사항,짐 종류,
07/31,19:10,재민,5,공덕,여의도,3,6,N,,여,,중년,X,X,O,"이어폰, 핸드폰",,"쇼핑백, 장우산","붐빔 여부 
- F (Full) : 열차 칸에 서있는 사람이 20명 초과인 경우
- N (Normal) : 좌석이 꽉차고 열차 칸에 서있는 사람이 20명 이하인 경우
- E (Empty) : 남은 좌석이 있는 경우

연령대
- ~13살: 어린이
- 14~19살: 청소년
- 20, 30대: 청년
- 65세 이전 : 중년
- 65세 이후 : 노년


일단 짐은 전부다 적고, 단비는 무신사를 기준으로 짐 분류를 좀 하세요
비어있는 구간은 한 행으로 추가해서 할 것( 재민님 행 확인 )


지하철 호선 드롭다운 목록 추가(1~9, 10, 11)

함수 추가
1. 만약 성별이 남자라면 임산부배지 항목 자동으로 X, 여자일 경우는 OX 추가 입력
2. 만약 임산부배지 항목에서 X를 선택했다면 임산부여부는 자동으로 X
 ** 만약 임산부 배지 X인데 임산부여부가 O일 경우에는 임산부여부를 수동으로 고쳐줘야 합니다.(지금까지의 데이터는 변동 없이 반영되어있음. 이후 데이터 쌓을 때만 유의하면 됩니다.)"
08/03,9:19,한솔,1,병점,종각,26,52,E,O,여,,노년,X,X,X,멍,,,
08/03,9:19,한솔,1,병점,종각,26,,E,O,여,,노년,X,X,X,멍,,비교적 작은 백팩,
08/03,9:24,한솔,1,의왕,종각,21,,E,O,비었음,21,,,,,,,,
08/03,10:01,한솔,1,구로,노량진,5,,E,O,비었음,5,,,,,,,,
08/03,10:13,한솔,1,병점 ,종각,26,,E,O,여,,노년,X,X,X,,,,
08/03,10:32,현미,6,불광,경복궁,5,10,F,X,여,,청년,X,O,X,핸드폰,,,
08/03,10:36,현미,6,불광,경복궁,5,,F,X,여,,중년,X,X,X,멍,,,
08/03,18:10,한솔,1,종각,병점,26,52,N,O,여,,중년,X,X,X,멍,,,
08/03,18:10,한솔,1,종각,병점,26,,N,O,여,,노년,X,X,X,멍,,,
08/03,18:19,한솔,1,종각,병점,26,,N,O,남,,노년,X,X,O,멍,,큰 이마트 백,
08/03,18:20,현미,6,경복궁,불광,5,10,N,O,비었음,,,,,,,,,
08/03,18:21,한솔,1,종각,병점,26,,F,X,여,,중년,X,X,X,핸드폰,,,
08/03,18:23,한솔,1,노량진,신길,2,,N,X,비었음,2,,,,,,,,
08/03,18:28,한솔,1,종각,병점,26,,N,O,여,,중년,X,X,X,핸드폰,,,
08/03,19:03,한솔,1,종각,병점,26,,N,O,여,,중년,X,X,O,핸드폰,,엄청엄청 큰 쇼핑백,
08/03,17:04,한솔,1,종각,병점,26,,N,O,여,,청년,X,X,X,핸드폰,,도트백,
