기록자 정보,,,,,,,,지하철 현황,,탑승자 정보,,,,,,,,,
날짜,기록 시간,기록자,호선,탑승역,하차역,지나온 역 수,시간,붐빔 정도,노약자석 빈자리 여부,성별,비어있었던 역 수,연령대,뱃지 여부,임산부 여부,무거운 짐 여부,행동,기타 특이사항,짐 종류,
07/31,19:10,재민,5,공덕,여의도,3,6,N,,여,,중년,X,X,O,"이어폰, 핸드폰",,"쇼핑백, 장우산","붐빔 여부 
- F (Full) : 열차 칸에 서있는 사람이 20명 초과인 경우
- N (Normal) : 좌석이 꽉차고 열차 칸에 서있는 사람이 20명 이하인 경우
- E (Empty) : 남은 좌석이 있는 경우

연령대
- ~13살: 어린이
- 14~19살: 청소년
- 20, 30대: 청년
- 65세 이전 : 중년
- 65세 이후 : 노년


일단 짐은 전부다 적고, 단비는 무신사를 기준으로 짐 분류를 좀 하세요
비어있는 구간은 한 행으로 추가해서 할 것( 재민님 행 확인 )


지하철 호선 드롭다운 목록 추가(1~9, 10, 11)

함수 추가
1. 만약 성별이 남자라면 임산부배지 항목 자동으로 X, 여자일 경우는 OX 추가 입력
2. 만약 임산부배지 항목에서 X를 선택했다면 임산부여부는 자동으로 X
 ** 만약 임산부 배지 X인데 임산부여부가 O일 경우에는 임산부여부를 수동으로 고쳐줘야 합니다.(지금까지의 데이터는 변동 없이 반영되어있음. 이후 데이터 쌓을 때만 유의하면 됩니다.)"
08/09,19:05,보민,5,공덕,여의도,3,,N,O,여,,중년,X,X,X,핸드폰,,크로스백,
08/09,19:18,보민,9,여의도,샛강,1,,N,X,비었음,1,,,,,,,,
08/09,19:18,보민,9,여의도,노량진,2,,N,X,여,,청년,X,X,O,핸드폰,,보스턴백,
08/09,19:20,보민,9,샛강,노량진,1,,N,X,여,,중년,X,X,X,핸드폰,,크로스백,
08/09,19:26,보민,9,노량진,노들,1,,E,X,여,,청년,X,X,X,핸드폰,"옆자리가 비었는데 임산부석 앉음, 한정거장 가서 내림",,
08/09,19:24,보민,9,노량진,흑석,2,,N,X,비었음,2,,,,,,,,
08/09,19:28,보민,9,노들,흑석,1,,N,X,비었음,1,,,,,,,,
08/09,19:31,보민,9,흑석,고속터미널,4,8,F,X,여,,중년,X,X,X,멍,,비닐봉지,
08/09,19:31,보민,9,흑석,동작,1,,F,X,남,,노년,X,X,X,멍,앉을까 말까 고민하다가 눈치보고 앉음,,
08/09,19:35,보민,9,동작,고속터미널,1,,F,X,여,,노년,X,X,X,멍,,크로스백,
08/09,19:55,보민,7,고속터미널,학동,3,,F,X,비었음,3,,,,,,,,
08/09,19:55,보민,7,고속터미널,상봉,14,28,F,X,남,,청년,X,X,X,핸드폰,"짧은머리, 환자같음",크로스백,
08/09,20:00,보민,7,학동,태릉입구,14,,F,O,여,,청년,X,X,O,전화,,큰 쇼핑백,
08/09,20:22,보민,7,상봉,먹골,2,,N,O,여,,노년,X,X,X,대화,남편과 같이 앉음,,
08/09,20:26,보민,7,먹골,태릉입구,1,,E,O,비었음,1,,,,,,,,
08/09,8:36,단비,7,신중동,까치울,3,,N,X,비었음,3,,,,,,,,
08/09,8:36,단비,7,신중동,온수,4,8,N,X,여,,노년,X,X,O,핸드폰,,보스턴백,
08/09,8:40,단비,7,신중동,온수,4,,N,X,남,,청년,X,X,X,핸드폰,,없음,
08/09,8:40,단비,7,부천종합운동장,온수,2,,N,X,비었음,,,,,,,,,
08/09,8:48,단비,1,온수,신길,7,14,N,X,여,,청년,X,X,O,잠,,백팩,
08/09,8:48,단비,1,온수,신길,7,,N,X,여,,중년,X,X,O,핸드폰,,보스턴백,
08/09,9:11,단비,5,신길,공덕,4,,N,X,여,,청년,X,X,O,핸드폰,,에코백,
08/09,9:11,단비,5,신길,공덕,4,8,N,X,여,,노년,X,X,X,멍,,크로스백,
08/09,9:12,단비,5,신길,공덕,4,,N,X,여,,노년,X,X,O,핸드폰,,백팩,
08/09,9:12,단비,5,신길,공덕,4,8,N,X,여,,청년,X,?,X,핸드폰,,없음,
08/09,19:00,단비,5,공덕,신길,4,,E,O,여,,청년,X,X,X,대화,,크로스백,
08/09,19:00,단비,5,공덕,여의도,3,,E,O,비었음,3,,,,,,,,
08/09,19:05,단비,5,공덕,신길,4,,E,O,여,,청년,X,X,O,핸드폰,,"보스턴백, 봉지(소)",
08/09,19:16,단비,1,신길,온수,7,14,N,X,여,,청년,X,X,O,멍,,보스턴백,
08/09,19:16,단비,1,신길,온수,7,,N,X,여,,청년,X,X,X,멍,,크로스백,
08/09,19:18,단비,1,신길,온수,7,,N,X,여,,중년,X,X,O,핸드폰,,보스턴백,
08/09,19:19,단비,1,영등포,신도림,1,,N,X,비었음,1,,,,,,,,
08/09,19:21,단비,1,신길,온수,7,,N,X,여,,노년,X,X,X,핸드폰,,크로스백,
08/09,19:40,단비,7,온수,신중동,4,8,N,X,여,,청년,X,X,X,핸드폰,,크로스백,
08/09,19:40,단비,7,온수,신중동,4,,N,X,여,,중년,X,X,X,핸드폰,,크로스백,
08/09,19:42,단비,7,까치울,신중동,3,,N,X,비었음,3,,,,,,,,
08/09,19:46,단비,7,춘의,신중동,1,,N,X,비었음,1,,,,,,,,
08/10,15:07,단비,7,신중동,대림,10,20,E,X,여,,중년,X,X,O,핸드폰,,보스턴백,
08/10,15:07,단비,7,신중동,대림,10,,E,X,여,,청년,X,X,O,핸드폰,,에코백,
08/10,15:16,단비,7,신중동,대림,10,,E,X,여,,중년,X,X,O,멍,,에코백,
08/10,22:49,단비,7,대림,신중동,10,,E,O,남,,노년,X,X,,대화,,,
08/10,22:49,단비,7,대림,신중동,10,20,E,O,여,,청년,X,X,X,핸드폰,,웨이스트백,
08/10,22:52,단비,7,가산디지털단지,철산,1,,E,O,비었음,1,,,,,,,,
08/10,22:52,단비,7,대림,신중동,10,,E,O,남,,노년,X,X,X,멍,,,
08/10,23:02,단비,7,대림,신중동,10,,E,O,여,,중년,X,X,X,대화,,크로스백,
08/11,10:51,재민,10,야탑,왕십리,16,32,F,O,남,,청년,X,X,X,핸드폰,,,
08/11,10:51,재민,10,야탑,왕십리,16,,F,O,여,,청년,X,X,X,핸드폰,,,
08/11,10:59,재민,10,복정,수서,1,,N,O,비었음,1,,,,,,,,
08/11,10:59,재민,10,복정,수서,1,,N,O,비었음,1,,,,,,,,
08/11,11:04,재민,10,야탑,왕십리,16,,N,O,여,,중년,X,X,X,핸드폰,,,
08/11,11:04,재민,10,야탑,왕십리,16,,N,O,여,,어린이,X,X,X,대화,"보호자가 앞에 서 있음, 일반석 나니 옮김",,
08/11,11:20,재민,10,강남구청,왕십리,3,,E,O,비었음,3,,,,,,,,
08/11,11:23,재민,10,압구정로데오,왕십리,2,,E,O,비었음,2,,,,,,,,
08/11,11:37,재민,5,왕십리,마포,12,24,E,O,여,,노년,X,X,X,잠,,,
08/11,11:37,재민,5,왕십리,마포,12,,E,O,여,,중년,X,X,O,핸드폰,,백팩,
08/11,11:46,재민,5,을지로4가,마포,7,,E,O,비었음,7,,,,,,,,
08/11,11:48,재민,5,종로3가,마포,6,,E,O,비었음,6,,,,,,,,
08/11,19:42,재민,5,마포,왕십리,12,24,E,O,비었음,12,,,,,,,,
08/11,19:42,재민,5,마포,왕십리,12,,E,O,비었음,12,,,,,,,,
08/11,20:12,재민,10,왕십리,강남구청,3,,E,O,비었음,3,,,,,,,,
08/11,20:12,재민,10,왕십리,야탑,16,32,E,O,여,,중년,X,X,X,잠,,,
08/11,20:20,재민,10,왕십리,야탑,16,,E,O,여,,노년,X,X,X,통화,,,
08/11,20:31,재민,10,대모산입구,수서,1,,E,O,비었음,1,,,,,,,,
08/11,20:36,재민,10,왕십리,야탑,16,,N,X,여,,중년,X,X,X,대화,앉을까 말까 고민하고 있는데 일행이 앉힘,,
08/12,8:00,한솔,1,병점,수원,2,,E,O,비었음,2,,,,,,,,
08/12,8:00,한솔,1,병점,신길,19,38,E,O,여,,중년,X,X,X,핸드폰,빈자리가 많았음에도 불구하고 굳이 임산부석 착석,,
08/12,8:12,한솔,1,수원 ,병점,2,,E,O,여,,중년,X,X,X,핸드폰,,,
08/12,8:12,한솔,1,수원,병점,2,,E,O,비었음,2,,,,,,,,
08/12,8:44,미현,1,수원,신길,17,34,E,O,여,,청년,O,O,X,핸드폰,,"핸드백, 장대우산",
08/12,8:44,미현,1,수원,화서,1,,E,O,비었음,1,,,,,,,,
08/12,8:44,미현,1,수원,신길,17,,E,O,여,,중년,X,X,X,멍,,"핸드백, 우산(중), 미니쇼핑백",
08/12,9:02,미현,1,수원,신길,17,,N,X,여,,청년,X,X,X,핸드폰,,"장대우산, 크로스백",
08/12,9:27,미현,1,수원,신길,17,,N,X,여,,중년,X,X,O,핸드폰,,20인치 캐리어,
08/12,9:44,미현,5,신길,공덕,4,8,F,X,여,,중년,X,X,X,핸드폰,,"핸드백, 3단 우산",
08/12,9:44,미현,5,신길,공덕,4,,F,X,여,,중년,X,X,X,핸드폰,,핸드백,
08/12,9:45,미현,5,여의도,공덕,3,,F,X,비었음,3,,,,,,,,
08/12,18:15,한솔,5,공덕,신길,4,8,F,X,여,,중년,X,X,X,핸드폰,,핸드백,
08/12,18:15,한솔,5,공덕,신길,4,,F,X,여,,중년,X,X,X,핸드폰,,핸드백,
08/12,18:56,한솔,1,신길,병점,19,38,F,O,남,,노년,X,X,X,멍,,,
08/12,18:57,한솔,1,명학,성균관대,5,,F,O,비었음,5,,,,,,,,
08/12,19:05,한솔,1,금정,성균관대,4,,N,O,비었음,4,,,,,,,,
08/12,19:10,한솔,1,신길,병점,19,,E,O,여,,중년,X,X,X,대화,핸드백,,
08/12,19:10,한솔,1,신길,병점,19,,E,O,남,,어린이,X,X,X,"핸드폰, 대화",,,
08/12,21:15,미현,5,공덕,신길,4,8,F,O,여,,청년,O,O,X,핸드폰,,핸드백,
08/12,21:15,미현,5,공덕,신길,4,,F,O,비었음,4,,,,,,,,
08/12,21:33,미현,1,신길,수원,17,34,F,X,여,,중년,X,X,X,핸드폰,,핸드백,
08/12,21:33,미현,1,신길,수원,17,,F,X,여,,중년,X,X,X,잠,,"핸드백, 장대우산",
08/12,21:45,미현,1,신길,수원,17,,F,X,여,,청년,X,X,O,전화,,"에코백, 2단 우산",
08/12,21:45,미현,1,가산디지털단지,금정,7,,F,X,비었음,7,,,,,,,,
08/12,22:05,미현,1,신길,수원,17,,N,O,여,,중년,X,X,O,핸드폰,옆 자리에 앉아 있다가 임산부석으로 옮김,"백팩, 얼굴 크기의 비닐 봉지",
08/12,22:17,미현,1,성균관대역,수원,2,,E,O,비었음,2,,,,,,,,
08/12,21:17,미현,1,성균관대역,수원,2,,E,O,비었음,2,,,,,,,,
08/12,8:47,재민,10,야탑,복정,4,,F,X,비었음,4,,,,,,,,
08/12,8:47,재민,10,야탑,왕십리,16,32,F,X,여,,청년,X,O,O,핸드폰,,"핸드백, 에코백, 장우산",
08/12,8:57,재민,10,야탑,왕십리,16,,F,X,여,,청년,X,X,X,화장,,"크로스백, 쇼핑백(소), 단우산",
08/12,8:57,재민,10,복정,강남구청,9,,F,X,비었음,9,,,,,,,,
08/12,9:17,재민,10,야탑,왕십리,16,,E,O,여,,중년,X,X,X,멍,,,
08/12,9:17,재민,10,강남구청,왕십리,3,,E,O,비었음,3,,,,,,,,
08/12,9:19,재민,10,압구정로데오,왕십리,2,,E,O,비었음,2,,,,,,,,
08/12,9:36,재민,5,왕십리,공덕,11,22,F,X,여,,청년,X,X,X,핸드폰,임산부가 탔는데 안 비켜줘서 그 옆자리 분이 비켜줌,,
08/12,9:36,재민,5,왕십리,공덕,11,,F,X,여,,청년,X,X,X,잠,,,
08/12,9:45,재민,5,을지로4가,종로3가,1,,N,O,비었음,1,,,,,,,,
08/12,9:48,재민,5,왕십리,공덕,11,,N,O,남,,청소년,X,X,O,핸드폰,,"백팩, 장우산",
08/12,9:51,재민,5,서대문,공덕,3,,N,O,비었음,3,,,,,,,,
08/12,21:19,재민,5,공덕,왕십리,11,22,E,O,비었음,11,,,,,,,,
08/12,21:19,재민,5,공덕,충정로,2,,E,O,비었음,2,,,,,,,,
08/12,21:22,재민,5,공덕,왕십리,11,,E,O,여,,청년,X,X,X,핸드폰,,,
08/12,21:44,재민,10,왕십리,선릉,5,,E,O,비었음,5,,,,,,,,
08/12,21:44,재민,10,왕십리,선정릉,4,,E,O,비었음,4,,,,,,,,
08/12,21:57,재민,10,왕십리,야탑,16,,N,O,여,,중년,X,X,X,대화,,,
08/12,21:59,재민,10,왕십리,야탑,16,,F,O,여,,청년,X,X,X,핸드폰,,,
08/12,22:11,재민,10,왕십리,야탑,16,,F,O,여,,청년,X,X,O,"핸드폰, 이어폰",,메신저백,
08/12,22:20,재민,10,왕십리,야탑,16,32,F,O,남,,중년,X,X,X,핸드폰,,"크로스백, 장우산",
08/12,21:24,보민,6,공덕,동묘앞,10,20,E,O,비었음,10,,,,,,,,
08/12,21:25,보민,6,공덕,동묘앞,10,,E,O,여,,청년,O,O,X,핸드폰,,핸드백,
08/12,21:42,보민,6,동묘앞,화랑대,10,,N,X,여,,중년,X,X,X,멍,,작은백팩,
08/12,21:42,보민,6,동묘앞,돌곶이,7,,N,X,남,,노년,X,X,X,멍,,장우산,
08/12,21:56,보민,6,돌곶이,화랑대,3,,N,O,비었음,3,,,,,,,,
08/12,8:36,단비,7,신중동,온수,4,8,N,X,여,,청년,X,X,O,핸드폰,,에코백,
08/12,8:36,단비,7,신중동,온수,4,,N,X,남,,청년,X,X,O,잠,,에코백,
08/12,8:49,단비,1,온수,신길,7,14,N,X,여,,청년,X,X,O,핸드폰,,보스턴백,
08/12,8:49,단비,1,온수,개봉,2,,N,X,비었음,2,,,,,,,,
08/12,8:54,단비,1,온수,신길,7,,N,X,여,,노년,X,X,X,핸드폰,,크로스백,
08/12,9:14,단비,5,신길,공덕,4,8,N,X,여,,노년,X,X,O,잠,,에코백,
08/12,9:14,단비,5,신길,공덕,4,,N,X,여,,중년,X,X,O,핸드폰,,"보스턴백, 캐리어",
08/12,18:13,단비,5,공덕,신길,4,,N,X,여,,청년,X,X,O,핸드폰,,보스턴백,
08/12,18:13,단비,5,공덕,신길,4,8,N,X,여,,노년,X,X,X,잠,,크로스백,
08/12,18:34,단비,1,신길,온수,7,14,F,X,여,,청년,X,X,X,핸드폰,,크로스백,
08/12,18:34,단비,1,신길,온수,7,,F,X,여,,중년,X,X,O,핸드폰,,보스턴백,
08/12,19:00,단비,7,온수,신중동,4,8,F,X,여,,중년,X,X,X,핸드폰,,크로스백,
08/12,19:00,단비,7,온수,신중동,4,,F,X,여,,청년,X,X,X,잠,,봉지 (소),
08/13,8:00,한솔,1,병점,신길,19,38,N,O,남,,청년,X,X,O,"이어폰, 잠",텅텅 빈 시작역부터 임산부석에 앉아서 옴,백팩,
08/13,8:00,한솔,1,병점,신길,19,,N,O,여,,노년,X,X,O,잠,,백팩,
08/13,8:21,한솔,1,병점,신길,19,,F,X,남,,중년,X,X,X,"이어폰, 잠",앞에 임산부 있는데도 자서 옆사람이 자리내줌.......,,
08/13,8:24,미현,1,수원,신길,17,34,F,X,남,,중년,X,X,O,핸드폰,,노트북 가방,
08/13,8:24,미현,1,수원,신길,17,,F,X,여,,중년,X,X,X,핸드폰,,핸드백,
08/13,8:28,한솔,1,병점,신길,19,,F,X,여,,청년,X,X,O,핸드폰,,"핸드백, 에코백",
08/13,8:32,미현,1,수원,신길,17,,F,X,여,,노년,X,X,X,잠,,핸드백,
08/13,8:46,한솔,1,독산,가산디지털단지,1,,F,X,비었음,1,,,,,,,,
08/13,8:49,한솔,1,병점,신길,19,,F,X,여,,청년,X,X,X,"핸드폰, 이어폰",,,
08/13,8:59,미현,1,수원,신길,17,,F,X,남,,중년,X,X,O,핸드폰,,이마트 장바구니,
08/13,8:59,미현,1,수원,신길,17,,F,X,여,,중년,X,X,X,잠,,핸드백,
08/13,9:11,한솔,5,신길,공덕,4,8,F,X,여,,중년,X,X,X,"핸드폰, 이어폰",,,
08/13,9:12,한솔,5,신길,공덕,4,,F,X,여,,중년,X,X,O,"핸드폰, 이어폰",,백팩,
08/13,9:10,미현,5,신길,공덕,4,8,F,X,여,,중년,X,X,X,멍,,핸드백,
08/13,9:10,미현,5,신길,공덕,4,,F,X,남,,중년,X,X,X,멍,,크로스백,
08/13,9:18,한솔,5,마포,공덕,1,,F,X,비었음,1,,,,,,,,
08/13,8:42,재민,10,야탑,왕십리,16,32,F,X,여,,중년,X,X,X,멍,한참 눈치 보다가 앉음,,
08/13,8:42,재민,10,야탑,왕십리,16,,F,X,여,,청년,X,X,X,핸드폰,,쇼핑백(중),
08/13,9:13,재민,10,강남구청,왕십리,3,,E,O,비었음,3,,,,,,,,
08/13,9:28,재민,5,왕십리,공덕,11,22,N,X,여,,중년,X,X,X,핸드폰,,,
08/13,9:28,재민,5,왕십리,공덕,11,,N,X,여,,중년,X,X,O,멍,,백팩,
08/13,9:40,재민,5,종로3가,공덕,5,,E,X,비었음,5,,,,,,,,
08/13,9:44,재민,5,왕십리,공덕,11,,E,O,여,,청년,O,O,X,핸드폰,옆자리에 있다가 임산부석이 비니까 옮김,,
08/13,9:47,재민,5,왕십리,공덕,11,,E,O,남,,청년,X,X,O,대화,,백팩,
08/13,9:01,현미,6,불광,새절,5,,E,O,비었음,5,,,,,,,,
08/13,9:01,현미,6,불광,새절,5,,E,O,비었음,5,,,,,,,,
08/13,9:13,현미,6,새절,마포구청,4,,N,O,여,,청년,X,X,X,핸드폰,,,
08/13,9:13,현미,6,새절,마포구청,4,,N,O,여,,청년,X,X,X,멍,,,
08/13,9:21,현미,6,마포구청,공덕,6,12,N,O,비었음,6,,,,,,,,
08/13,9:21,현미,6,마포구청,공덕,6,,N,O,비었음,6,,,,,,,,
08/13,18:56,한솔,5,공덕,신길,4,8,N,O,남,,청년,X,X,X,"이어폰, 핸드폰",,,
08/13,18:57,한솔,5,공덕,신길,4,,N,O,여,,청년,X,X,X,핸드폰,,,
08/13,19:13,한솔,1,신길,병점,19,38,N,O,여,,청년,X,X,O,핸드폰,,에코백,
08/13,19:25,한솔,1,신길,병점,19,,F,O,여,,청년,X,X,X,잠,외국인,,
08/13,19:45,한솔,1,금정,화서,5,,N,O,비었음,5,,,,,,,,
08/13,20:05,한솔,1,신길,병점,19,,E,O,남,,청년,X,X,O,"이어폰, 핸드폰",옆자리 비어있는데도 앉아있음,에코백,
08/13,20:07,한솔,1,신길,병점,19,,E,O,여,,청년,X,X,X,"핸드폰, 이어폰",일반자리 앉아있다가 임산부석 비니까 자리 옮김,,
08/13,20:55,미현,5,공덕,신길,4,,N,O,비었음,4,,,,,,,,
08/13,20:55,미현,5,공덕,신길,4,8,N,O,비었음,4,,,,,,,,
08/13,21:09,미현,1,신길,수원,17,34,F,X,남,,노년,X,X,X,"핸드폰, 주변 살피기",,,
08/13,21:09,미현,1,신길,신도림,2,,F,X,비었음,2,,,,,,,,
08/13,21:15,미현,1,신길,수원,17,,F,X,여,,중년,X,X,X,핸드폰,,"핸드백, 커피",
08/13,21:24,미현,1,신길,수원,17,,F,X,여,,중년,X,X,X,핸드폰,,핸드백,
08/13,21:24,미현,1,독산,안양,4,,F,X,비었음,4,,,,,,,,
08/13,21:33,미현,1,관악,안양,1,,F,X,비었음,1,,,,,,,,
08/13,21:36,미현,1,신길,수원,17,,F,X,여,,청소년,X,X,O,친구와 대화,,백팩,
08/13,21:36,미현,1,신길,수원,17,,F,X,여,,중년,X,X,O,멍,,백팩,
08/13,20:55,재민,5,공덕,왕십리,11,22,E,O,여,,노년,X,X,O,잠,,"보스턴백, 비닐봉지(소) 2개",
08/13,20:55,재민,5,공덕,왕십리,11,,E,O,남,,중년,X,X,O,필기,,보스턴백,
08/13,20:59,재민,5,서대문,행당,7,,N,O,비었음,7,,,,,,,,
08/13,21:04,재민,5,종로3가,왕십리,6,,N,O,비었음,6,,,,,,,,
08/13,21:15,재민,5,공덕,왕십리,11,,F,O,여,,노년,X,X,O,핸드폰,,"백팩, 크로스백, 에코백",
08/13,21:23,재민,10,왕십리,선릉,5,,E,O,비었음,5,,,,,,,,
08/13,21:23,재민,10,왕십리,압구정로데오,3,,E,O,비었음,3,,,,,,,,
08/13,21:29,재민,10,왕십리,야탑,16,,E,O,남,,노년,X,X,X,잠,,비닐봉지(중),
08/13,21:30,재민,10,왕십리,야탑,16,,N,O,여,,중년,X,X,O,핸드폰,,백팩,
08/13,21:34,재민,10,왕십리,야탑,16,32,N,O,남,,중년,X,X,O,손풍기,,메신저백,
08/13,20:50,현미,6,공덕,불광,4,,E,O,비었음,4,,,,,,,,
08/13,20:50,현미,6,공덕,합정,4,,E,O,비었음,4,,,,,,,,
08/13,21:03,현미,6,합정,증산,5,10,N,O,남,,중년,X,X,X,핸드폰,,핸드백,
08/13,21:11,현미,6,증산,불광,4,,N,O,비었음,4,,,,,,,,
08/13,8:40,보민,6,화랑대,태릉입구,1,,E,O,비었음,1,,,,,,,,
08/13,8:40,보민,6,화랑대,태릉입구,1,,E,O,비었음,1,,,,,,,,
08/13,8:41,보민,6,태릉입구,한강진,14,,N,O,여,,중년,X,X,X,핸드폰,,,
08/13,8:41,보민,6,태릉입구,공덕,19,38,N,O,여,,청년,X,?,X,"핸드폰, 잠",임산부가 탔는데 일어나지 않음. 옆에 있던 남중년이 자리 양보. 초기 임산부?,,
08/13,9:07,보민,6,한강진,공덕,5,,E,O,비었음,5,,,,,,,,
08/13,20:36,보민,6,공덕,삼각지,2,,N,O,여,,청년,X,?,X,핸드폰,,토드백,
08/13,20:36,보민,6,공덕,삼각지,2,,N,O,남,,노년,X,X,X,멍,,서류봉투,
08/13,20:38,보민,6,삼각지,동묘앞,8,,E,O,비었음,8,,,,,,,,
08/13,20:38,보민,6,삼각지,화랑대,18,36,E,O,비었음,18,,,,,,,,
08/13,20:52,보민,6,동묘앞,고려대,4,,N,O,남,,중년,X,X,X,전화,옆자리 나니까 눈치보고 옮겨앉음,,
08/13,21:00,보민,6,고려대,화랑대,6,,N,O,비었음,6,,,,,,,,
08/13,8:46,단비,7,신중동,온수,4,8,F,X,여,,청년,X,X,X,핸드폰,,크로스백,
08/13,8:46,단비,7,신중동,온수,4,,F,X,남,,청년,X,X,X,잠,,크로스백,
08/13,9:05,단비,1,온수,신길,7,14,E,O,여,,청년,X,X,X,핸드폰,17분에 임산부석 자리가 다시 나자마자 앉음,크로스백,
08/13,9:05,단비,1,온수,신길,7,,E,O,여,,청년,X,X,O,핸드폰,,에코백,
08/13,9:13,단비,1,온수,신길,7,,E,O,여,,청년,X,?,X,핸드폰,비켜달라고 해서 앉는데 뱃지없음. 임산부인지 확인 불가. 장애가 있어보임,크로스백,
08/13,9:25,단비,5,신길,공덕,4,8,N,X,여,,중년,X,X,X,잠,,크로스백,
08/13,9:25,단비,5,신길,공덕,4,,N,X,비었음,4,,,,,,,,
08/13,18:53,단비,5,공덕,신길,4,8,N,X,여,,노년,X,X,O,핸드폰,,"크로스백, 캐리어",
08/13,18:53,단비,5,공덕,신길,4,,N,X,여,,청년,X,X,O,핸드폰,,백팩,
08/13,18:58,단비,5,여의나루,신길,2,,N,X,비었음,2,,,,,,,,
08/13,19:08,단비,1,신길,온수,7,14,N,N,여,,청년,O,O,O,핸드폰,,에코백,
08/13,19:08,단비,1,신길,온수,7,,N,N,남,,청년,X,X,X,핸드폰,,,
08/13,19:16,단비,1,구로,온수,4,,N,N,비었음,4,,,,,,,,
08/13,19:16,단비,1,신길,온수,7,,N,N,여,,중년,X,X,O,핸드폰,옆자리 비어도 계속 임산부석에 앉아있음,보스턴백,
08/13,19:36,단비,7,온수,신중동,4,8,F,X,비었음,4,,,,,,,,
08/13,19:36,단비,7,온수,신중동,4,,F,X,비었음,4,,,,,,,,
08/14,8:30,재민,10,야탑,왕십리,16,32,F,X,여,,노년,X,X,O,멍,,"백팩, 토트백",
08/14,8:30,재민,10,야탑,왕십리,16,,F,X,여,,청년,X,?,X,"핸드폰, 이어폰",,,
08/14,8:37,재민,10,야탑,왕십리,16,,F,X,여,,청년,X,X,X,"핸드폰, 이어폰",,,
08/14,8:53,재민,10,야탑,왕십리,16,,F,X,여,,청년,X,X,X,"핸드폰, 이어폰",,,
08/14,8:56,재민,10,강남구청,왕십리,3,,E,O,비었음,3,,,,,,,,
08/14,8:59,재민,10,압구정로데오,왕십리,2,,E,O,비었음,2,,,,,,,,
08/14,9:10,재민,5,왕십리,공덕,11,22,N,X,여,,청년,X,X,X,핸드폰,,,
08/14,9:10,재민,5,왕십리,공덕,11,,N,X,여,,청년,X,X,O,독서,임산부인지 긴가민가 했는데 일반석 나니 옮김,"메신저백, 쇼핑백(소)",
08/14,9:20,재민,5,을지로4가,공덕,6,,E,O,비었음,6,,,,,,,,
08/14,9:26,재민,5,광화문,공덕,4,,E,O,비었음,4,,,,,,,,
08/14,9:23,현미,6,불광,합정,4,,E,O,비었음,4,,,,,,,,
08/14,9:23,현미,6,불광,응암,4,,E,O,비었음,4,,,,,,,,
08/14,9:36,현미,6,응암,새절,1,,E,O,남,,청년,X,X,X,핸드폰,,,
08/14,9:43,현미,6,새절,합정,6,12,N,O,비었음,6,,,,,,,,
08/14,9:48,현미,6,합정,광흥창,2,,N,O,여,,중년,X,X,X,멍,,,
08/14,9:50,현미,6,광흥창,공덕,2,,N,O,비었음,2,,,,,,,,
08/14,8:00,한솔,1,병점,신길,19,38,E,O,남,,청년,X,X,O,"핸드폰, 이어폰",,백팩,
08/14,8:00,한솔,1,병점,수원,2,,E,O,비었음,2,,,,,,,,
08/14,8:09,한솔,1,병점,신길,19,,N,O,여,,중년,X,X,X,핸드폰,,,
08/14,8:37,미현,1,수원,신길,17,34,E,O,여,,중년,X,X,X,잠,,핸드백,
08/14,8:37,미현,1,수원,성균관대,2,,E,O,비었음,2,,,,,,,,
08/14,8:43,미현,1,수원,신길,17,,N,O,여,,청년,X,X,O,핸드폰,,에코백,
08/14,8:52,한솔,1,병점,신길,19,,N,O,남,,노년,X,X,X,"핸드폰, 이어폰",,,
08/14,9:06,한솔,5,신길,공덕,4,8,F,X,여,,중년,X,X,X,"핸드폰, 이어폰",,,
08/14,9:07,한솔,5,신길,공덕,4,,F,X,여,,노년,X,X,O,핸드폰,,에코백,
08/14,9:08,한솔,5,신길,공덕,4,,F,O,여,,중년,X,X,X,핸드폰,,,
08/14,9:33,미현,5,신길,공덕,4,,F,X,여,,중년,X,X,X,잠,,핸드백,
08/14,9:33,미현,5,신길,공덕,4,8,F,X,여,,중년,X,X,X,잠,,핸드백,
08/14,9:40,미현,5,신길,공덕,4,,F,X,여,,청년,X,X,X,핸드폰,,핸드백,
08/14,18:28,미현,5,공덕,신길,4,8,F,X,비었음,4,,,,,,,,
08/14,18:28,미현,5,공덕,신길,4,,F,X,여,,청년,X,X,X,,,,
08/14,18:47,한솔,1,신길,병점,19,38,F,O,남,,중년,X,X,O,멍,,큰 백팩,
08/14,18:48,한솔,1,신길,병점,19,,F,O,남,,중년,X,X,X,핸드폰,,,
08/14,18:47,미현,1,신길,수원,17,34,F,X,여,,청년,X,X,O,핸드폰,,백팩,
08/14,18:47,미현,1,신길,수원,17,,F,X,여,,청년,X,X,O,핸드폰,,에코백,
08/14,18:26,한솔,5,공덕,신길,4,8,F,X,비었음,4,,,,,,,,
08/14,18:51,한솔,1,신길,병점,19,,F,O,여,,중년,X,X,O,핸드폰,,보스턴백,
08/14,19:06,한솔,1,신길,병점,19,,F,X,남,,청년,X,X,O,"이어폰, 잠",,노트북 가방,
08/14,19:14,한솔,1,신길,병점,19,,F,X,여,,청년,X,X,X,"이어폰, 핸드폰",,핸드백,
08/14,19:16,미현,1,신길,수원,17,,F,X,여,,중년,X,X,X,핸드폰,,,
