,date,time,name,line,start,stop,crowded,old_age_seat,sex,empty_station,age,badge,pregnant,heavy,behavior,characteristic,bag,empty,sex2,노년,중년,청년,어린이,청소년,crowded2,behavior1,behavior2,behavior3,핸드폰,멍,잠,이어폰,대화,통화,독서,화장,먹기,필기,바람쐬기
164,08월 03일,18:43:00,단비,7호선,온수,까치울,E,X,비었음,,,,,,,,,0,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
165,08월 03일,18:46:00,단비,7호선,까치울,춘의,E,X,여,,중년,X,X,X,잠,옆 자리가 비어서 춘의역부터는 일반석에 앉음,,1,1.0,0,1,0,0,0,0,잠,,,0,0,1,0,0,0,0,0,0,0,0
166,08월 03일,18:50:00,단비,7호선,춘의,신중동,E,X,비었음,,,,,,,,,0,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
167,08월 05일,08:27:00,한솔,1호선,병점,신길,F,O,남,,중년,X,X,X,핸드폰,,노트북 가방,1,0.0,0,1,0,0,0,2,핸드폰,,,1,0,0,0,0,0,0,0,0,0,0
168,08월 05일,08:27:00,한솔,1호선,병점,신길,F,O,여,,청년,O,O,X,"핸드폰, 이어폰",,,1,1.0,0,0,1,0,0,2,핸드폰,이어폰,,1,0,0,1,0,0,0,0,0,0,0
169,08월 03일,08:36:00,미현,1호선,수원,신길,E,O,남,,중년,X,X,X,핸드폰,,백팩,1,0.0,0,1,0,0,0,0,핸드폰,,,1,0,0,0,0,0,0,0,0,0,0
170,08월 05일,08:36:00,미현,1호선,수원,군포,E,O,비었음,5.0,,,,,,,,0,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
171,08월 05일,08:45:00,한솔,1호선,병점,수원,F,X,남,,노년,X,X,X,핸드폰,,,1,0.0,1,0,0,0,0,2,핸드폰,,,1,0,0,0,0,0,0,0,0,0,0
172,08월 05일,08:51:00,미현,1호선,수원,신길,N,O,남,,중년,X,X,X,멍,,크로스백,1,0.0,0,1,0,0,0,1,멍,,,0,1,0,0,0,0,0,0,0,0,0
173,08월 05일,08:53:00,미현,1호선,수원,신길,N,O,여,,청년,X,X,X,핸드폰,,"에코백, 백팩",1,1.0,0,0,1,0,0,1,핸드폰,,,1,0,0,0,0,0,0,0,0,0,0
174,08월 05일,08:53:00,미현,1호선,금정,안양,N,O,비었음,2.0,,,,,,,,0,,0,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,0
175,08월 05일,09:00:00,한솔,1호선,병점,신길,F,X,여,,노년,X,X,,핸드폰,,핸드백,1,1.0,1,0,0,0,0,2,핸드폰,,,1,0,0,0,0,0,0,0,0,0,0
176,08월 05일,09:00:00,미현,1호선,수원,신길,F,X,여,,중년,X,X,X,멍,,핸드백,1,1.0,0,1,0,0,0,2,멍,,,0,1,0,0,0,0,0,0,0,0,0
177,08월 05일,09:08:00,한솔,1호선,병점,신길,F,O,여,,중년,X,X,X,잠,,,1,1.0,0,1,0,0,0,2,잠,,,0,0,1,0,0,0,0,0,0,0,0
178,08월 05일,09:12:00,한솔,1호선,신도림,영등포,F,O,비었음,1.0,,,,,,,,0,,0,0,0,0,0,2,,,,0,0,0,0,0,0,0,0,0,0,0
179,08월 05일,09:13:00,미현,1호선,수원,신길,F,X,여,,중년,X,X,X,핸드폰,,핸드백,1,1.0,0,1,0,0,0,2,핸드폰,,,1,0,0,0,0,0,0,0,0,0,0
