date,time,line,start,stop,E,N,F,old_age_seat,is_empty,Female,Male,isempty_station,child,teenage,Youth,middle_age,old_age,badge,pregnant,heavy,cellphone,thinking,sleep,earphone,talking,calling,reading,makeup,eating,writing
2019. 8. 2.,18:45:00,6,응암,불광,0,1,0,0,1,,,2,,,,,,,,,,,,,,,,,,
2019. 8. 3.,9:19:00,1,병점,종각,1,0,0,0,0,1,0,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2019. 8. 3.,9:19:00,1,병점,종각,1,0,0,0,0,1,0,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2019. 8. 3.,9:24:00,1,의왕,종각,1,0,0,0,1,,,21,,,,,,,,,,,,,,,,,,
2019. 8. 3.,10:01:00,1,구로,노량진,1,0,0,0,1,,,5,,,,,,,,,,,,,,,,,,
2019. 8. 3.,10:13:00,1,병점 ,종각,1,0,0,0,0,1,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019. 8. 3.,10:32:00,6,불광,경복궁,0,0,1,1,0,1,0,,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2019. 8. 3.,10:36:00,6,불광,경복궁,0,0,1,1,0,1,0,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019. 8. 3.,18:10:00,1,종각,병점,0,1,0,0,0,1,0,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019. 8. 3.,18:10:00,1,종각,병점,0,1,0,0,0,1,0,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2019. 8. 3.,18:19:00,1,종각,병점,0,1,0,0,0,0,1,,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
2019. 8. 3.,18:20:00,6,경복궁,불광,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,
2019. 8. 3.,18:21:00,1,종각,병점,0,0,1,1,0,1,0,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019. 8. 3.,18:23:00,1,노량진,신길,0,1,0,1,1,,,2,,,,,,,,,,,,,,,,,,
